##T[K]	p[bar]	E[V/mm]	v[mm/ms]	dL[mm^1/2]	dT[mm^1/2]
293.15	9	300	6128.79	0.0211793	0.031611
293.15	9	310	6204.98	0.0219825	0.0317348
293.15	9	320	6310.27	0.0211556	0.0317483
293.15	9	330	6387.5	0.0213804	0.0308585
293.15	9	340	6473	0.0214015	0.0314062
293.15	9	350	6548.14	0.0209357	0.0312243
293.15	9	360	6630.71	0.0202328	0.0308357
293.15	9	370	6716.47	0.0208968	0.0315471
293.15	9	380	6804.23	0.0204576	0.0306915
293.15	9	390	6863.38	0.0204969	0.0308483
293.15	9	400	6951.32	0.0206325	0.0307463
293.15	15	100	2907.12	0.0230857	0.0291551
293.15	15	110	3070.07	0.0237679	0.0287151
293.15	15	120	3237.51	0.0225178	0.0283471
293.15	15	130	3384.97	0.0215728	0.0279563
293.15	15	140	3531.04	0.0209981	0.0278276
293.15	15	150	3649.9	0.0204724	0.0268873
293.15	15	160	3780.04	0.0198311	0.0271227
293.15	15	170	3890.47	0.0201452	0.0267885
293.15	15	180	4012.02	0.019231	0.0267919
293.15	15	190	4114.55	0.0192138	0.0267681
293.15	15	200	4205.61	0.0190733	0.0261898
293.15	15	210	4308.82	0.0186069	0.0261256
293.15	15	220	4391.42	0.0185284	0.0255553
293.15	15	230	4479.36	0.0182964	0.026241
293.15	15	240	4556.46	0.0184336	0.0257124
293.15	15	250	4639.52	0.0177998	0.0256516
293.15	15	260	4718.04	0.0177066	0.0256196
293.15	15	270	4786.41	0.0175674	0.0260583
293.15	15	280	4865.06	0.0180233	0.0257366
293.15	15	290	4941.59	0.0174652	0.0254393
293.15	15	300	4988.36	0.0173339	0.025741
293.15	15	310	5080.63	0.0170411	0.0255048
293.15	15	320	5138.61	0.0171473	0.0254413
293.15	15	330	5203.79	0.0175193	0.0259229
293.15	15	340	5262.37	0.0177212	0.0255119
293.15	15	350	5317.47	0.0175071	0.0257784
293.15	15	360	5372.44	0.017326	0.025095
293.15	15	370	5443.19	0.0168441	0.0254389
293.15	15	380	5495.56	0.0171193	0.0247246
293.15	15	390	5545.86	0.0170687	0.0246837
293.15	15	400	5595.96	0.016199	0.0249329
293.15	2	100	7351.09	0.0442134	0.0649385
293.15	2	110	7692.22	0.0448634	0.0638551
293.15	2	120	8024.63	0.043298	0.061928
293.15	2	130	8351.51	0.043112	0.0620301
293.15	2	140	8665.18	0.0430726	0.0605928
293.15	2	150	8957.52	0.0407727	0.0609532
293.15	2	160	9266.18	0.0409686	0.0602407
293.15	2	170	9549.47	0.0419413	0.0593051
293.15	2	180	9828.14	0.0397605	0.0587072
293.15	2	190	10131.1	0.0396791	0.0580249
293.15	2	200	10394.5	0.0396194	0.057209
293.15	2	210	10656.4	0.0394599	0.0571371
293.15	2	220	10918.4	0.0397118	0.0569336
293.15	2	230	11158.3	0.0388984	0.0563303
293.15	2	240	11408	0.0396605	0.0561367
293.15	2	250	11665.2	0.0392979	0.0563759
293.15	2	260	11914.5	0.039811	0.0561329
293.15	2	270	12122.6	0.0387555	0.054903
293.15	2	280	12372.5	0.0369972	0.0554093
293.15	2	290	12584.8	0.038656	0.054722
293.15	2	300	12827.9	0.036889	0.0539908
293.15	2	310	13041.3	0.0373348	0.0537854
293.15	2	320	13270.1	0.0373793	0.0538202
293.15	2	330	13499.2	0.0372271	0.0531316
293.15	2	340	13692.5	0.0383237	0.0538291
293.15	2	350	13909	0.0389785	0.0534794
293.15	2	360	14103.2	0.0375378	0.0524268
293.15	2	370	14320.5	0.0368458	0.052483
293.15	2	380	14542.5	0.0365807	0.0521244
293.15	2	390	14704.9	0.0361469	0.052203
293.15	2	400	14913.9	0.0348089	0.0508748
293.15	21	100	2330.62	0.0227311	0.0271423
293.15	21	110	2490.08	0.022686	0.0260692
293.15	21	120	2634.81	0.021404	0.025985
293.15	21	130	2784.77	0.0203998	0.0247332
293.15	21	140	2908.61	0.0200709	0.0247702
293.15	21	150	3026.17	0.019178	0.0242911
293.15	21	160	3146.8	0.0192445	0.0244163
293.15	21	170	3260.85	0.0186701	0.0233975
293.15	21	180	3371.57	0.0181326	0.0236481
293.15	21	190	3479.54	0.0181116	0.0237411
293.15	21	200	3565.09	0.0174619	0.0230553
293.15	21	210	3661.39	0.0172958	0.0230706
293.15	21	220	3740.32	0.0175161	0.0225222
293.15	21	230	3830.88	0.0176586	0.0229692
293.15	21	240	3913.48	0.0166593	0.0227367
293.15	21	250	3991.23	0.016935	0.022649
293.15	21	260	4068.49	0.0165336	0.0229511
293.15	21	270	4137.85	0.016318	0.0223783
293.15	21	280	4211.06	0.0161972	0.0225059
293.15	21	290	4281.68	0.0157553	0.0218424
293.15	21	300	4348.78	0.015767	0.0224379
293.15	21	310	4409.09	0.0160521	0.022023
293.15	21	320	4474.19	0.0155436	0.0222317
293.15	21	330	4530.86	0.0158921	0.0217474
293.15	21	340	4586.48	0.0158324	0.0218085
293.15	21	350	4642.49	0.0150141	0.0222279
293.15	21	360	4697.82	0.0151362	0.0218646
293.15	21	370	4754.55	0.0154989	0.0220814
293.15	21	380	4804.2	0.0149783	0.0220723
293.15	21	390	4851.39	0.0152591	0.0215133
293.15	21	400	4903.06	0.0147833	0.0214231
293.15	7	100	4347.02	0.0272935	0.0388166
293.15	7	110	4527.57	0.0262554	0.0383466
293.15	7	120	4701.09	0.0266733	0.0379435
293.15	7	130	4862.96	0.0264641	0.038283
293.15	7	140	5008.36	0.0258507	0.0364387
293.15	7	150	5143.12	0.0249643	0.0368113
293.15	7	160	5282.81	0.0250038	0.0376876
293.15	7	170	5406.95	0.0244189	0.03698
293.15	7	180	5525.12	0.0244388	0.0365474
293.15	7	190	5647.85	0.0249726	0.0371745
293.15	7	200	5763.3	0.0234219	0.0361355
293.15	7	210	5868.49	0.0233368	0.036444
293.15	7	220	5987.52	0.0248984	0.0360224
293.15	7	230	6103.25	0.0246996	0.0357506
293.15	7	240	6207.17	0.0247148	0.0363889
293.15	7	250	6317.49	0.024146	0.0357644
293.15	7	260	6416.9	0.0239856	0.0354592
293.15	7	270	6519.1	0.0238658	0.0344855
293.15	7	280	6625.69	0.0236245	0.0360092
293.15	7	290	6730.28	0.0241952	0.0354108
293.15	7	300	6841.04	0.0237159	0.0353793
293.15	7	310	6930.99	0.0240743	0.0345222
293.15	7	320	7046.33	0.0243467	0.0350653
293.15	7	330	7166.8	0.0236368	0.0347151
293.15	7	340	7248.39	0.0244944	0.0346026
293.15	7	350	7349.12	0.0241252	0.0350957
293.15	7	360	7447.24	0.0229205	0.0338186
293.15	7	370	7554.96	0.0237367	0.0341188
293.15	7	380	7635.43	0.0237875	0.0341282
293.15	7	390	7733.78	0.0224219	0.0341253
293.15	7	400	7833.6	0.0228196	0.0342577
293.15	20	100	2405.17	0.0228157	0.0276435
293.15	20	110	2570	0.0226837	0.026332
293.15	20	120	2722.55	0.0211226	0.0256356
293.15	20	130	2862.07	0.0213161	0.0256216
293.15	20	140	2995.7	0.02027	0.0252338
293.15	20	150	3112.52	0.0195214	0.0253251
293.15	20	160	3237.48	0.0189551	0.0247736
293.15	20	170	3350.71	0.0184181	0.0244537
293.15	20	180	3465.51	0.0177581	0.0239767
293.15	20	190	3568.52	0.0180463	0.0239014
293.15	20	200	3656.91	0.0176616	0.0237507
293.15	20	210	3758.3	0.0177232	0.0233759
293.15	20	220	3834.87	0.0175287	0.0237932
293.15	20	230	3926.37	0.0174107	0.0236929
293.15	20	240	4010.49	0.0172488	0.0233789
293.15	20	250	4077.33	0.0174441	0.0231889
293.15	20	260	4161.28	0.0164048	0.0230304
293.15	20	270	4231.14	0.0166744	0.0230716
293.15	20	280	4304.64	0.016078	0.0227055
293.15	20	290	4370.31	0.0160751	0.0227127
293.15	20	300	4441.99	0.0157728	0.0219592
293.15	20	310	4505.39	0.0162654	0.0223546
293.15	20	320	4563.51	0.0155958	0.022363
293.15	20	330	4629.49	0.0159455	0.0223887
293.15	20	340	4680.09	0.0159668	0.0226059
293.15	20	350	4743.06	0.015675	0.0222363
293.15	20	360	4793.5	0.0158522	0.0219512
293.15	20	370	4850.58	0.0158044	0.0220794
293.15	20	380	4898.87	0.0151391	0.0224375
293.15	20	390	4954.3	0.0148824	0.0221763
293.15	20	400	4998.4	0.0151241	0.022424
293.15	26	100	2001.92	0.0215388	0.0259953
293.15	26	110	2147.48	0.0221654	0.0244598
293.15	26	120	2291.35	0.0207668	0.0247068
293.15	26	130	2421.25	0.0203355	0.0242234
293.15	26	140	2532.88	0.0196681	0.0232409
293.15	26	150	2654.95	0.0193503	0.022919
293.15	26	160	2766	0.0181426	0.0229033
293.15	26	170	2872.39	0.0187652	0.021993
293.15	26	180	2984.31	0.0176486	0.0224406
293.15	26	190	3070.88	0.0171786	0.021751
293.15	26	200	3163.16	0.0168948	0.0221913
293.15	26	210	3252	0.017428	0.0216902
293.15	26	220	3352.08	0.0162417	0.020985
293.15	26	230	3423.33	0.0167657	0.02152
293.15	26	240	3503.47	0.0153118	0.0214089
293.15	26	250	3583.4	0.0155925	0.0211816
293.15	26	260	3654.54	0.0154197	0.0210565
293.15	26	270	3728.12	0.0158415	0.0208146
293.15	26	280	3798.38	0.0149831	0.0206992
293.15	26	290	3862.85	0.0152475	0.0206065
293.15	26	300	3937.77	0.0146951	0.0203512
293.15	26	310	3994.82	0.0147235	0.0203366
293.15	26	320	4058.9	0.0149042	0.0203515
293.15	26	330	4120.9	0.0148411	0.0202891
293.15	26	340	4169.25	0.0145073	0.0197734
293.15	26	350	4229.77	0.0142737	0.0197096
293.15	26	360	4282.57	0.0143216	0.0198582
293.15	26	370	4338.36	0.0138712	0.0200089
293.15	26	380	4381.92	0.0138476	0.0198447
293.15	26	390	4434.59	0.0142411	0.0197145
293.15	26	400	4486.18	0.0142205	0.0198256
293.15	8	100	4083.55	0.0263855	0.0360439
293.15	8	110	4270.13	0.0267707	0.0355613
293.15	8	120	4439.63	0.0253118	0.0361116
293.15	8	130	4600.35	0.025325	0.0355758
293.15	8	140	4749.03	0.024522	0.0351556
293.15	8	150	4876.41	0.0234092	0.035124
293.15	8	160	5004.99	0.023251	0.0353482
293.15	8	170	5127.26	0.0229125	0.0351905
293.15	8	180	5251.64	0.0234665	0.0349623
293.15	8	190	5370.22	0.0236494	0.0338817
293.15	8	200	5462.25	0.0233695	0.0345638
293.15	8	210	5569.93	0.023195	0.0340337
293.15	8	220	5665.76	0.0232168	0.0335665
293.15	8	230	5768.17	0.0224097	0.033668
293.15	8	240	5878.3	0.0235248	0.0353327
293.15	8	250	5971.95	0.0223107	0.0342379
293.15	8	260	6061.69	0.0229918	0.0335385
293.15	8	270	6163	0.0228787	0.0335583
293.15	8	280	6258.87	0.0223674	0.0332179
293.15	8	290	6344.13	0.0229294	0.0336397
293.15	8	300	6430.52	0.0221908	0.0329493
293.15	8	310	6538.21	0.0225187	0.0336048
293.15	8	320	6635.24	0.0218108	0.0333707
293.15	8	330	6728.05	0.0218156	0.0333556
293.15	8	340	6812.9	0.0230379	0.0330825
293.15	8	350	6908.44	0.0226194	0.0323901
293.15	8	360	7008.16	0.0230381	0.0330741
293.15	8	370	7071.68	0.0223112	0.0320991
