##T[K]	p[bar]	E[V/mm]	v[mm/ms]	dL[mm^1/2]	dT[mm^1/2]
293.15	10	350	7171.85	0.0313122	0.0430504
293.15	10	360	7294.05	0.031381	0.0429439
293.15	10	370	7403.76	0.0303789	0.0424878
293.15	10	380	7513.25	0.03246	0.0426061
293.15	10	390	7622.94	0.0304501	0.0436682
293.15	10	400	7733.23	0.0318897	0.0429237
293.15	26	100	2347.29	0.0239019	0.0329856
293.15	26	110	2477.26	0.02488	0.0321681
293.15	26	120	2604.69	0.0236874	0.031745
293.15	26	130	2719.77	0.0236421	0.031296
293.15	26	140	2843.83	0.0235696	0.0314815
293.15	26	150	2937.01	0.0231022	0.0310692
293.15	26	160	3036.3	0.0222701	0.0313496
293.15	26	170	3131.9	0.0214965	0.0305727
293.15	26	180	3227.42	0.0207465	0.0295856
293.15	26	190	3320.3	0.0212912	0.0292752
293.15	26	200	3402.63	0.0210324	0.0302448
293.15	26	210	3491.29	0.0211604	0.0307032
293.15	26	220	3563.8	0.0220348	0.0299709
293.15	26	230	3638.41	0.020452	0.0296101
293.15	26	240	3715.3	0.020858	0.0296736
293.15	26	250	3779.33	0.0209668	0.0299767
293.15	26	260	3849.99	0.0204702	0.0295867
293.15	26	270	3923.47	0.0209549	0.0297283
293.15	26	280	3988.85	0.0202794	0.029349
293.15	26	290	4051.43	0.0209442	0.0298112
293.15	26	300	4115.33	0.0199854	0.0303667
293.15	26	310	4182.54	0.0202535	0.0291732
293.15	26	320	4233.47	0.0206222	0.0292492
293.15	26	330	4299.59	0.0204347	0.0293323
293.15	26	340	4368.02	0.0205127	0.0290048
293.15	26	350	4420.55	0.0201706	0.0291646
293.15	26	360	4479.8	0.0197713	0.0292433
293.15	26	370	4536.69	0.0203492	0.028598
293.15	26	380	4584.98	0.0201461	0.0290989
293.15	26	390	4649.77	0.0204768	0.0291349
293.15	26	400	4711.62	0.020315	0.0289442
293.15	2	100	8800.66	0.0652978	0.0900527
293.15	2	110	9327.39	0.0653407	0.0901271
293.15	2	120	9796.69	0.0657258	0.0900284
293.15	2	130	10293.1	0.0673383	0.0889033
293.15	2	140	10766.6	0.0644202	0.0882968
293.15	2	150	11230.3	0.0633403	0.0879318
293.15	2	160	11661.6	0.0615087	0.0874671
293.15	2	170	12071.6	0.0641354	0.0844733
293.15	2	180	12502.9	0.0628901	0.0824367
293.15	2	190	12924.8	0.0603315	0.0847803
293.15	2	200	13295.1	0.0590604	0.0839554
293.15	2	210	13711.1	0.057451	0.0824623
293.15	2	220	14132.9	0.0619096	0.081516
293.15	2	230	14511.6	0.0592466	0.0822736
293.15	2	240	14869.4	0.0584058	0.0802068
293.15	2	250	15240.1	0.0584742	0.0816705
293.15	2	260	15621.1	0.0583347	0.0806376
293.15	2	270	15986.5	0.0581742	0.080357
293.15	2	280	16316.2	0.0609238	0.0794691
293.15	2	290	16668.1	0.0585028	0.0800418
293.15	2	300	17010.7	0.0569429	0.0771927
293.15	2	310	17364.8	0.0581858	0.0784145
293.15	2	320	17690.6	0.0584546	0.0780166
293.15	2	330	18000.8	0.0599423	0.0794629
293.15	2	340	18321.5	0.0593083	0.0782349
293.15	2	350	18645.4	0.0583451	0.0779747
293.15	2	360	18904.1	0.0573959	0.078582
293.15	2	370	19296.6	0.060652	0.0766405
293.15	2	380	19579.5	0.0566858	0.0778205
293.15	2	390	19934	0.0573007	0.0772937
293.15	2	400	20203.7	0.0594385	0.0773873
293.15	16	100	3062.18	0.0273847	0.0394898
293.15	16	110	3212.38	0.0281572	0.0391693
293.15	16	120	3350.17	0.0278941	0.0387719
293.15	16	130	3496.72	0.027246	0.0376019
293.15	16	140	3628.36	0.02809	0.0376751
293.15	16	150	3743.77	0.026477	0.0379324
293.15	16	160	3853.26	0.0270569	0.0381966
293.15	16	170	3966.32	0.0266849	0.0375616
293.15	16	180	4057.71	0.0249309	0.0378237
293.15	16	190	4170	0.0262259	0.0382786
293.15	16	200	4276.52	0.0259571	0.0371361
293.15	16	210	4388.66	0.0257207	0.0372989
293.15	16	220	4465.93	0.0256949	0.0370162
293.15	16	230	4566.43	0.0256827	0.0376485
293.15	16	240	4645.98	0.0257363	0.0378204
293.15	16	250	4742.03	0.0253959	0.036798
293.15	16	260	4820.7	0.0253293	0.036917
293.15	16	270	4918.03	0.0264333	0.0362633
293.15	16	280	5001.95	0.025016	0.0365666
293.15	16	290	5077.18	0.0258187	0.0364628
293.15	16	300	5160.9	0.0256637	0.0366754
293.15	16	310	5259.54	0.0254297	0.0370351
293.15	16	320	5326.43	0.0250748	0.0361661
293.15	16	330	5402.99	0.0255384	0.0357706
293.15	16	340	5486.52	0.0251149	0.036511
293.15	16	350	5587.58	0.0253938	0.0354651
293.15	16	360	5650.98	0.0252591	0.0365492
